Time	Amplitude
0.854	0.109599
0.855	-0.0981128
0.856	-0.171297
0.857	0.169133
0.858	0.309581
0.859	-0.255664
0.86	-0.14926
0.861	-0.0367696
0.862	0.0969355
0.863	0.0915084
0.864	-0.0104562
0.865	-0.182151
0.866	0.123907
0.867	0.363688
0.868	-0.341841
0.869	-0.234943
0.87	0.010759
0.871	0.05911
0.872	0.0633859
0.873	-0.129524
0.874	-0.0956459
0.875	0.0147061
0.876	0.325533
0.877	-0.205176
0.878	-0.232147
0.879	0.117657
0.88	0.146109
0.881	0.0517093
0.882	-0.0736084
0.883	-0.0847916
0.884	0.0492424
0.885	0.279649
0.886	-0.130018
0.887	-0.216359
0.888	0.151865
0.889	0.231134
0.89	-0.071306
0.891	-0.093179
0.892	-0.0828181
0.893	0.0612479
0.894	0.274222
0.895	-0.00930495
0.896	-0.250731
0.897	0.11996
0.898	0.272084
0.899	-0.215208
0.9	-0.180342
0.901	-0.0142387
0.902	0.0309875
0.903	0.202847
0.904	-0.0765687
0.905	-0.202873
0.906	0.0151994
0.907	0.270111
0.908	-0.243495
0.909	-0.185769
0.91	0.00977229
0.911	0.044802
0.912	0.158114
0.913	-0.0153899
0.914	-0.160607
0.915	0.0188175
0.916	0.271755
0.917	-0.0933435
0.918	-0.268492
0.919	0.055163
0.92	0.124894
0.921	0.174889
0.922	0.00270056
0.923	-0.153535
0.924	0.0153639
0.925	0.275702
0.926	0.0304941
0.927	-0.291023
0.928	0.0799963
0.929	0.172916
0.93	0.180316
0.931	-0.128373
0.932	-0.110941
0.933	-0.0193369
0.934	0.21255
0.935	0.000727049
0.936	-0.248922
0.937	-0.00930495
0.938	0.202847
0.939	-0.0854494
0.94	-0.112092
0.941	-0.103375
0.942	-0.0208171
0.943	0.214195
0.944	0.0276983
0.945	-0.245797
0.946	-0.0209815
0.947	0.214195
0.948	-0.0349605
0.949	-0.219812
0.95	-0.0550245
0.951	0.0303297
0.952	0.223076
0.953	0.115355
0.954	-0.205998
0.955	-0.0214749
0.956	0.223404
0.957	0.0554919
0.958	-0.310594
0.959	0.0186531
0.96	0.0772005
0.961	0.275538
0.962	0.05911
0.963	-0.163567
0.964	-0.0601228
0.965	0.213372
0.966	0.0499003
0.967	-0.260269
0.968	-0.0222972
0.969	0.098909
0.97	0.0522027
0.971	0.0689775
0.972	-0.172119
0.973	-0.0757464
0.974	0.178836
0.975	0.109599
0.976	-0.290201
0.977	-0.0556824
0.978	0.143642
0.979	0.0206266
0.98	-0.087094
0.981	-0.116697
0.982	-0.0625896
0.983	0.187388
0.984	0.148905
0.985	-0.258789
0.986	-0.0349605
0.987	0.145286
0.988	0.0954554
0.989	-0.229187
0.99	-0.0397299
0.991	-0.023284
0.992	0.254158
0.993	0.161403
0.994	-0.173271
0.995	-0.0782132
0.996	0.166337
0.997	0.0541762
0.998	-0.237081
0.999	-0.0249285
1	-0.0158833
1.001	0.135254
1.002	0.302674
1.003	-0.203202
1.004	-0.113736
1.005	0.115026
1.006	0.094962
1.007	-0.259283
1.008	-0.0722927
1.009	0.0270405
1.01	0.056972
1.011	0.207781
1.012	-0.172777
1.013	-0.14301
1.014	0.155318
1.015	0.126374
1.016	-0.270959
1.017	-0.0523932
1.018	0.0492424
1.019	0.073089
1.02	0.088877
1.021	-0.0798578
1.022	-0.11423
1.023	0.208932
1.024	0.22176
1.025	-0.161265
1.026	-0.0890675
1.027	0.106639
1.028	0.0647016
1.029	-0.00650914
1.03	-0.056998
1.031	-0.109625
1.032	0.139201
1.033	0.288366
1.034	-0.194979
1.035	-0.139885
1.036	0.063057
1.037	0.105816
1.038	-0.156002
1.039	-0.0686746
1.04	-0.0877519
1.041	0.0786806
1.042	0.276031
1.043	-0.225733
1.044	-0.162252
1.045	0.0721022
1.046	0.0706221
1.047	-0.198433
1.048	-0.0584782
1.049	-0.063083
1.05	0.0719378
1.051	0.259257
1.052	-0.100744
1.053	-0.170639
1.054	0.136735
1.055	0.148576
1.056	-0.112421
1.057	-0.0706481
1.058	-0.0237773
1.059	0.0434864
1.06	0.303167
1.061	-0.0775554
1.062	-0.166692
1.063	0.139201
1.064	0.225378
1.065	-0.127715
1.066	-0.118341
1.067	-0.00831819
1.068	0.0666751
1.069	0.184099
1.07	-0.0489396
1.071	-0.181987
1.072	0.0745691
1.073	0.236232
1.074	-0.207478
1.075	-0.14597
1.076	0.00927891
1.077	0.0398683
1.078	0.0179952
1.079	-0.0418678
1.08	-0.174586
1.081	0.0449665
1.082	0.224062
1.083	-0.10354
1.084	-0.188236
1.085	0.0627281
1.086	0.069142
1.087	0.0375659
1.088	-0.0278888
1.089	-0.110447
1.09	0.0278628
1.091	0.288037
1.092	-0.056998
1.093	-0.193828
1.094	0.0678263
1.095	0.139366
1.096	0.0300007
1.097	-0.0722927
1.098	-0.0885742
1.099	0.0304941
1.1	0.275702
1.101	-0.0180213
1.102	-0.193828
1.103	0.0656883
1.104	0.173244
1.105	-0.0783777
1.106	-0.102224
1.107	-0.0920278
1.108	-0.00305551
1.109	0.161239
1.11	-0.0038778
1.111	-0.237574
1.112	0.0135548
1.113	0.188046
1.114	-0.0509131
1.115	-0.158634
1.116	-0.0158833
1.117	0.0155284
1.118	0.160417
1.119	-0.0142387
1.12	-0.197282
1.121	0.011088
1.122	0.233601
1.123	-0.0492685
1.124	-0.177218
1.125	0.0147061
1.126	0.0739113
1.127	0.152194
1.128	0.0119103
1.129	-0.142517
1.13	0.00418069
1.131	0.265835
1.132	-0.0066736
1.133	-0.202544
1.134	0.0382237
1.135	0.105487
1.136	0.0383881
1.137	-0.00716698
1.138	-0.144161
1.139	-0.0262442
1.14	0.181961
1.141	0.0623992
1.142	-0.245632
1.143	-0.0102917
1.144	0.114204
1.145	0.0175019
1.146	-0.0963037
1.147	-0.0943302
1.148	-0.0361118
1.149	0.18821
1.15	0.0378948
1.151	-0.231653
1.152	-0.00914049
1.153	0.155647
1.154	0.0120747
1.155	-0.115217
1.156	-0.0458148
1.157	0.000398131
1.158	0.188046
1.159	0.0587811
1.16	-0.198104
1.161	-0.0142387
1.162	0.217813
1.163	0.0344411
1.164	-0.143503
1.165	0.00319393
1.166	0.0378948
1.167	0.135419
1.168	0.0977578
1.169	-0.180836
1.17	-0.0487751
1.171	0.155647
1.172	0.0684841
1.173	-0.226391
1.174	-0.022955
1.175	0.036908
1.176	0.0987446
1.177	0.0513804
1.178	-0.152384
1.179	-0.0826536
1.18	0.182783
1.181	0.0696353
1.182	-0.238232
1.183	-0.0354539
1.184	0.0721022
1.185	0.0276983
1.186	-0.0160478
1.187	-0.0926856
1.188	-0.0734439
1.189	0.186237
1.19	0.120124
1.191	-0.220964
1.192	-0.0418678
1.193	0.146931
1.194	0.0563142
1.195	-0.0316714
1.196	-0.0504197
1.197	-0.0320003
1.198	0.15795
1.199	0.163706
1.2	-0.198926
1.201	-0.0609451
1.202	0.128676
1.203	0.0985801
1.204	-0.144819
1.205	-0.0420323
1.206	-0.0315069
1.207	0.137392
1.208	0.172751
1.209	-0.204189
1.21	-0.103869
1.211	0.13805
1.212	0.0717733
1.213	-0.195308
1.214	-0.0410455
1.215	-0.0038778
1.216	0.0625636
1.217	0.11848
1.218	-0.137254
1.219	-0.117026
1.22	0.140024
1.221	0.102692
1.222	-0.205998
1.223	-0.0489396
1.224	0.0436508
1.225	0.0568076
1.226	0.16239
1.227	-0.0818313
1.228	-0.0875874
1.229	0.158772
1.23	0.169626
1.231	-0.19942
1.232	-0.0607806
1.233	0.0582877
1.234	0.0890415
1.235	0.0499003
1.236	-0.0560113
1.237	-0.114394
1.238	0.147753
1.239	0.214524
1.24	-0.198597
1.241	-0.10798
1.242	0.0906861
1.243	0.0768715
1.244	-0.089232
1.245	-0.0497618
1.246	-0.0923567
1.247	0.0716089
1.248	0.179823
1.249	-0.162581
1.25	-0.149588
1.251	0.0901927
1.252	0.0717733
1.253	-0.109296
1.254	-0.0471305
1.255	-0.0499263
1.256	0.0573009
1.257	0.232285
1.258	-0.11571
1.259	-0.124591
1.26	0.113053
1.261	0.136406
1.262	-0.142846
1.263	-0.0578203
1.264	-0.0193369
1.265	0.0744047
1.266	0.248731
1.267	-0.0609451
1.268	-0.152713
1.269	0.130814
1.27	0.176863
1.271	-0.153864
1.272	-0.0967971
1.273	0.0081277
1.274	0.0693064
1.275	0.133117
1.276	-0.0522287
1.277	-0.150082
1.278	0.0799963
1.279	0.184263
1.28	-0.150082
1.281	-0.14301
1.282	0.0260537
1.283	0.0347701
1.284	0.0467756
1.285	-0.0481173
1.286	-0.13857
1.287	0.0500647
1.288	0.226365
1.289	-0.133636
1.29	-0.13232
1.291	0.0678263
1.292	0.0957843
1.293	-0.032987
1.294	-0.032987
1.295	-0.099264
1.296	0.0513804
1.297	0.255474
1.298	-0.0732795
1.299	-0.162745
1.3	0.0967711
1.301	0.132623
1.302	-0.061274
1.303	-0.0556824
1.304	-0.0596294
1.305	0.054834
1.306	0.227516
