Time - Dev1/ai10	Amplitude - Dev1/ai10
0.0873	0.113053
0.0874	0.127525
0.0875	0.141339
0.0876	0.154003
0.0877	0.167653
0.0878	0.181467
0.0879	0.193966
0.088	0.207287
0.0881	0.220773
0.0882	0.233601
0.0883	0.246758
0.0884	0.25975
0.0885	0.272742
0.0886	0.285077
0.0887	0.299056
0.0888	0.311061
0.0889	0.323889
0.089	0.337046
0.0891	0.349709
0.0892	0.361879
0.0893	0.374707
0.0894	0.387534
0.0895	0.39954
0.0896	0.412368
0.0897	0.425031
0.0898	0.436708
0.0899	0.450193
0.09	0.462857
0.0901	0.474862
0.0902	0.487361
0.0903	0.499531
0.0904	0.511372
0.0905	0.523213
0.0906	0.535712
0.0907	0.547224
0.0908	0.558572
0.0909	0.570577
0.091	0.581432
0.0911	0.592779
0.0912	0.60462
0.0913	0.615475
0.0914	0.626658
0.0915	0.63817
0.0916	0.649353
0.0917	0.659714
0.0918	0.671062
0.0919	0.681916
0.092	0.692441
0.0921	0.703625
0.0922	0.714643
0.0923	0.724182
0.0924	0.735201
0.0925	0.745233
0.0926	0.754442
0.0927	0.764803
0.0928	0.775164
0.0929	0.783881
0.093	0.793913
0.0931	0.803287
0.0932	0.812167
0.0933	0.821213
0.0934	0.83108
0.0935	0.839303
0.0936	0.84802
0.0937	0.857065
0.0938	0.865288
0.0939	0.873017
0.094	0.881734
0.0941	0.890121
0.0942	0.897357
0.0943	0.905087
0.0944	0.912816
0.0945	0.920053
0.0946	0.927947
0.0947	0.935018
0.0948	0.941432
0.0949	0.948504
0.095	0.955576
0.0951	0.961661
0.0952	0.968404
0.0953	0.974817
0.0954	0.980409
0.0955	0.986494
0.0956	0.992743
0.0957	0.998006
0.0958	1.0036
0.0959	1.00968
0.096	1.01478
0.0961	1.01939
0.0962	1.02481
0.0963	1.02958
0.0964	1.03435
0.0965	1.03896
0.0966	1.04356
0.0967	1.04685
0.0968	1.05162
0.0969	1.05573
0.097	1.05836
0.0971	1.06247
0.0972	1.06576
0.0973	1.06889
0.0974	1.07168
0.0975	1.07497
0.0976	1.07678
0.0977	1.07974
0.0978	1.08254
0.0979	1.08418
0.098	1.08665
0.0981	1.08895
0.0982	1.09093
0.0983	1.09241
0.0984	1.0952
0.0985	1.09652
0.0986	1.09783
0.0987	1.09981
0.0988	1.10145
0.0989	1.1026
0.099	1.10474
0.0991	1.10375
0.0992	1.10227
0.0993	1.10129
0.0994	1.09964
0.0995	1.09783
0.0996	1.09635
0.0997	1.09454
0.0998	1.09191
0.0999	1.09043
0.1	1.08846
0.1001	1.08616
0.1002	1.08402
0.1003	1.08204
0.1004	1.07941
0.1005	1.07662
0.1006	1.07448
0.1007	1.07119
0.1008	1.06807
0.1009	1.06527
0.101	1.06149
0.1011	1.05803
0.1012	1.05458
0.1013	1.05047
0.1014	1.04636
0.1015	1.04274
0.1016	1.03781
0.1017	1.03287
0.1018	1.0281
0.1019	1.02366
0.102	1.01791
0.1021	1.01314
0.1022	1.00771
0.1023	1.00162
0.1024	0.99669
0.1025	0.991099
0.1026	0.984685
0.1027	0.978764
0.1028	0.972679
0.1029	0.965608
0.103	0.959852
0.1031	0.953438
0.1032	0.946202
0.1033	0.93913
0.1034	0.932551
0.1035	0.924986
0.1036	0.917915
0.1037	0.910678
0.1038	0.902291
0.1039	0.894233
0.104	0.886667
0.1041	0.878444
0.1042	0.870057
0.1043	0.861999
0.1044	0.853611
0.1045	0.84473
0.1046	0.836014
0.1047	0.827298
0.1048	0.81743
0.1049	0.808714
0.105	0.800162
0.1051	0.789472
0.1052	0.780427
0.1053	0.771546
0.1054	0.760692
0.1055	0.750989
0.1056	0.741286
0.1057	0.73076
0.1058	0.720235
0.1059	0.710367
0.106	0.699184
0.1061	0.688494
0.1062	0.677805
0.1063	0.666457
0.1064	0.655274
0.1065	0.644419
0.1066	0.63373
0.1067	0.621724
0.1068	0.611034
0.1069	0.600015
0.107	0.587845
0.1071	0.576662
0.1072	0.565479
0.1073	0.553474
0.1074	0.541961
0.1075	0.530449
0.1076	0.517786
0.1077	0.506109
0.1078	0.494433
0.1079	0.481441
0.108	0.469435
0.1081	0.45743
0.1082	0.444437
0.1083	0.431774
0.1084	0.419604
0.1085	0.406776
0.1086	0.393948
0.1087	0.381614
0.1088	0.369444
0.1089	0.356123
0.109	0.344117
0.1091	0.330961
0.1092	0.317804
0.1093	0.305634
0.1094	0.292971
0.1095	0.279485
