Frequency	Amplitude
212.4	2.82E-09
212.6	3.38E-09
212.8	3.27E-09
213	4.81E-09
213.2	5.15E-09
213.4	4.65E-09
213.6	4.06E-09
213.8	3.05E-09
214	2.60E-09
214.2	1.44E-09
214.4	1.23E-09
214.6	1.33E-09
214.8	2.57E-09
215	5.82E-09
215.2	9.41E-09
215.4	1.26E-08
215.6	2.02E-08
215.8	2.81E-08
216	3.69E-08
216.2	4.59E-08
216.4	5.25E-08
216.6	6.39E-08
216.8	7.17E-08
217	7.24E-08
217.2	6.96E-08
217.4	6.11E-08
217.6	5.23E-08
217.8	4.36E-08
218	3.76E-08
218.2	3.32E-08
218.4	3.88E-08
218.6	6.61E-08
218.8	1.00E-07
219	1.43E-07
219.2	1.72E-07
219.4	1.67E-07
219.6	1.43E-07
219.8	8.19E-08
220	1.95E-08
220.2	1.70E-08
220.4	6.36E-09
220.6	7.89E-09
220.8	3.01E-08
221	8.39E-08
221.2	1.80E-07
221.4	3.74E-07
221.6	7.61E-07
221.8	1.47E-06
222	2.72E-06
222.2	4.88E-06
222.4	8.70E-06
222.6	1.58E-05
222.8	2.97E-05
223	6.03E-05
223.2	0.000137916
223.4	0.000408429
223.6	0.00181759
223.8	0.00178572
224	0.000158522
224.2	3.03E-06
224.4	3.40E-06
224.6	3.30E-06
224.8	3.06E-06
225	2.85E-06
225.2	2.71E-06
225.4	3.39E-06
225.6	3.35E-06
225.8	1.98E-06
226	1.64E-06
226.2	1.48E-06
226.4	1.35E-06
226.6	1.22E-06
226.8	1.07E-06
227	9.18E-07
227.2	6.61E-07
227.4	9.18E-07
227.6	4.90E-07
227.8	8.17E-08
228	6.52E-08
228.2	1.58E-07
228.4	1.54E-07
228.6	1.89E-07
228.8	2.86E-07
229	3.15E-07
229.2	2.76E-07
229.4	2.26E-07
229.6	1.66E-07
229.8	1.20E-07
230	8.24E-08
230.2	5.59E-08
230.4	3.65E-08
230.6	2.83E-08
230.8	1.95E-08
231	3.43E-08
231.2	2.03E-08
231.4	1.99E-08
231.6	3.81E-08
231.8	5.25E-08
232	4.68E-08
232.2	4.63E-08
232.4	4.54E-08
232.6	4.66E-08
232.8	4.85E-08
233	5.57E-08
233.2	7.60E-08
233.4	1.07E-07
233.6	1.54E-07
233.8	1.16E-07
234	4.51E-08
234.2	5.10E-08
234.4	7.18E-08
234.6	8.24E-08
234.8	8.22E-08
235	8.66E-08
235.2	9.27E-08
235.4	7.38E-08
235.6	5.07E-08
235.8	2.25E-08
236	2.20E-09
236.2	9.66E-09
236.4	4.15E-08
236.6	5.16E-08
236.8	2.80E-08
237	1.38E-08
237.2	1.30E-08
237.4	1.65E-08
237.6	1.48E-08
237.8	1.79E-08
238	1.80E-08
238.2	2.06E-08
238.4	2.08E-08
238.6	2.31E-08
238.8	2.26E-08
239	2.06E-08
239.2	1.81E-08
239.4	1.53E-08
239.6	1.32E-08
239.8	1.17E-08
240	1.43E-08
240.2	1.72E-08
240.4	1.81E-08
240.6	1.09E-08
240.8	9.15E-09
241	7.95E-09
241.2	9.54E-09
241.4	1.20E-08
241.6	1.72E-08
241.8	2.18E-08
242	2.50E-08
242.2	2.88E-08
242.4	2.38E-08
242.6	1.92E-08
242.8	1.52E-08
243	8.42E-09
243.2	5.18E-09
243.4	2.91E-09
243.6	2.72E-09
243.8	7.79E-09
244	1.20E-08
244.2	1.72E-08
244.4	2.41E-08
