Time (s)	Measured Amplitude (V)
105.5	0.0171729
105.6	0.0173374
105.7	0.0173374
105.8	0.0173374
105.9	0.0173374
106	0.0171729
106.1	0.0179952
106.2	0.0170085
106.3	0.0171729
106.4	0.0173374
106.5	0.0175019
106.6	0.0173374
106.7	0.0173374
106.8	0.0175019
106.9	0.0173374
107	0.0175019
107.1	0.0175019
107.2	0.0173374
107.3	0.0175019
107.4	0.0175019
107.5	0.0175019
107.6	0.0176663
107.7	0.0175019
107.8	0.0176663
107.9	0.0178308
108	0.0176663
108.1	0.0176663
108.2	0.0176663
108.3	0.0175019
108.4	0.0176663
108.5	0.0176663
108.6	0.0176663
108.7	0.0176663
108.8	0.0178308
108.9	0.0178308
109	0.0178308
109.1	0.0176663
109.2	0.0179952
109.3	0.0176663
109.4	0.0178308
109.5	0.0179952
109.6	0.0178308
109.7	0.0178308
109.8	0.0178308
109.9	0.0178308
110	0.0176663
110.1	0.0178308
110.2	0.0178308
110.3	0.0178308
110.4	0.0179952
110.5	0.0179952
110.6	0.0178308
110.7	0.0176663
110.8	0.0178308
110.9	0.0178308
111	0.0178308
111.1	0.0178308
111.2	0.0176663
111.3	0.0178308
111.4	0.0176663
111.5	0.0179952
111.6	0.0176663
111.7	0.0178308
111.8	0.0176663
111.9	0.0178308
112	0.0179952
112.1	0.0176663
112.2	0.0176663
112.3	0.0175019
112.4	0.0176663
112.5	0.0179952
112.6	0.0178308
112.7	0.0178308
112.8	0.0176663
112.9	0.0176663
113	0.0176663
113.1	0.0176663
113.2	0.0175019
113.3	0.0176663
113.4	0.0176663
113.5	0.0176663
113.6	0.0178308
113.7	0.0176663
113.8	0.0176663
113.9	0.0176663
114	0.0176663
114.1	0.0176663
114.2	0.0175019
114.3	0.0176663
114.4	0.0176663
114.5	0.0176663
114.6	0.0176663
114.7	0.0178308
114.8	0.0176663
114.9	0.0175019
115	0.0176663
115.1	0.0170085
115.2	0.0178308
115.3	0.0176663
115.4	0.0173374
115.5	0.0176663
115.6	0.0175019
115.7	0.0176663
115.8	0.0175019
115.9	0.0176663
116	0.0173374
116.1	0.0173374
116.2	0.0175019
116.3	0.0175019
116.4	0.0175019
116.5	0.0175019
116.6	0.0175019
116.7	0.0175019
116.8	0.0175019
116.9	0.0173374
117	0.0175019
117.1	0.0173374
117.2	0.0173374
117.3	0.0175019
117.4	0.0171729
117.5	0.0173374
117.6	0.0173374
117.7	0.0173374
117.8	0.0171729
117.9	0.0171729
118	0.0171729
118.1	0.0173374
118.2	0.0173374
118.3	0.0173374
118.4	0.0171729
118.5	0.0170085
118.6	0.0171729
118.7	0.0173374
118.8	0.0171729
118.9	0.0171729
119	0.0170085
119.1	0.0170085
119.2	0.016844
119.3	0.0171729
119.4	0.0170085
119.5	0.0171729
119.6	0.0171729
119.7	0.0171729
119.8	0.0170085
119.9	0.0171729
120	0.0170085
120.1	0.016844
120.2	0.0161862
120.3	0.0170085
120.4	0.016844
120.5	0.016844
120.6	0.016844
120.7	0.016844
120.8	0.016844
120.9	0.016844
121	0.016844
121.1	0.016844
121.2	0.016844
121.3	0.016844
121.4	0.0170085
121.5	0.0166796
121.6	0.0170085
121.7	0.016844
121.8	0.016844
121.9	0.0166796
122	0.0166796
122.1	0.016844
122.2	0.016844
122.3	0.0170085
122.4	0.0166796
122.5	0.0166796
122.6	0.016844
122.7	0.016844
122.8	0.0165151
122.9	0.016844
123	0.0165151
123.1	0.0165151
123.2	0.0166796
123.3	0.0163506
123.4	0.0165151
123.5	0.0166796
123.6	0.0166796
123.7	0.0165151
123.8	0.0165151
123.9	0.0166796
124	0.0163506
124.1	0.0165151
124.2	0.0163506
124.3	0.0165151
124.4	0.0163506
124.5	0.0165151
124.6	0.0165151
124.7	0.0163506
124.8	0.0165151
124.9	0.0165151
125	0.0163506
125.1	0.0163506
125.2	0.0155284
125.3	0.0165151
125.4	0.0163506
125.5	0.0165151
125.6	0.0161862
125.7	0.0163506
125.8	0.0161862
125.9	0.0163506
126	0.0163506
126.1	0.0163506
126.2	0.0161862
126.3	0.0163506
126.4	0.0161862
126.5	0.0163506
